"longitude","latitude","start_date","end_date","label","cube"
-54.3989,-10.453,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-56.6465,-13.8453,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-60.4875,-13.0058,2012-09-13,2013-08-29,"Pasture","mod13q1_512"
-59.8262,-14.363,2012-09-13,2013-08-29,"Pasture","mod13q1_512"
-52.4576,-10.9625,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.9797,-10.2289,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.9472,-10.0801,2006-09-14,2007-08-29,"Pasture","mod13q1_512"
-52.9263,-15.5581,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.2688,-14.4528,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-60.4827,-12.988,2008-09-13,2009-08-29,"Pasture","mod13q1_512"
-51.925,-13.161,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.2098,-15.1053,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.7058,-10.8094,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.0808,-10.4529,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.9407,-13.2325,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-58.7672,-11.3732,2008-09-13,2009-08-29,"Pasture","mod13q1_512"
-55.2881,-11.0776,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3754,-11.19,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.023,-14.1607,2007-09-14,2008-08-28,"Pasture","mod13q1_512"
-55.8955,-10.081,2004-09-13,2005-08-29,"Pasture","mod13q1_512"
-59.8262,-14.363,2010-09-14,2011-08-29,"Pasture","mod13q1_512"
-56.1084,-14.4192,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.6474,-15.7199,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-59.808,-14.3551,2012-09-13,2013-08-29,"Pasture","mod13q1_512"
-55.0917,-14.2115,2009-09-14,2010-08-29,"Pasture","mod13q1_512"
-60.4875,-13.0058,2008-09-13,2009-08-29,"Pasture","mod13q1_512"
-51.818,-12.911,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.2119,-15.098,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-53.599,-15.6653,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.0585,-14.4378,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.2071,-15.6595,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.2644,-14.4678,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.1867,-15.231,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.5959,-15.7452,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.3004,-16.0771,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-54.3378,-10.4337,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.8629,-15.5658,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.2035,-10.9138,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-51.7784,-12.7903,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-58.7614,-11.3723,2010-09-14,2011-08-29,"Pasture","mod13q1_512"
-55.0626,-10.395,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.2055,-15.3657,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.8119,-15.6762,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.2554,-15.5029,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.023,-14.1607,2003-09-14,2004-08-28,"Pasture","mod13q1_512"
-51.565,-12.5681,2007-09-14,2008-08-28,"Pasture","mod13q1_512"
-54.9687,-15.1836,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-57.6283,-13.7235,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.0849,-10.5681,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.6781,-15.6975,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.2062,-15.473,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.6716,-15.7104,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.2008,-15.1414,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.9734,-15.2246,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.7102,-15.4768,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-59.8262,-14.363,2002-09-14,2003-08-29,"Pasture","mod13q1_512"
-56.1974,-14.5368,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.042,-13.8071,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.9061,-10.23,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.2028,-15.133,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.4163,-11.0909,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.4572,-15.8338,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.5087,-15.7817,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.9357,-13.4561,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.1718,-14.3372,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-57.6294,-13.2873,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-56.1242,-14.4341,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-51.565,-12.5681,2010-09-14,2011-08-29,"Pasture","mod13q1_512"
-51.743,-12.3566,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.0443,-15.2015,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.7398,-10.8114,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.2567,-10.4247,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.203,-15.6049,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.2713,-11.0324,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.6185,-10.3732,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.4376,-15.8401,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.1709,-14.2823,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.3652,-10.4489,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-53.5869,-15.6529,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.2055,-15.508,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3021,-14.8001,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.6698,-13.3546,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-57.554,-14.4458,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.9649,-15.1723,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.3306,-15.8122,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-53.4642,-10.5929,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.8581,-15.623,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.1348,-10.4477,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.9475,-10.1382,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.9928,-11.9319,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.2715,-14.9142,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-59.808,-14.3551,2005-09-14,2006-08-29,"Pasture","mod13q1_512"
-52.183,-15.1653,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-51.9897,-12.6367,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.6698,-10.824,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.6866,-15.7202,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-51.926,-13.1166,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3445,-14.7277,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.701,-13.8596,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.2041,-15.4079,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.0352,-13.8025,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-53.7364,-15.7129,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.2722,-14.4598,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.6306,-15.713,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.1068,-13.9412,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.8955,-10.081,2005-09-14,2006-08-29,"Pasture","mod13q1_512"
-51.8845,-13.0109,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.0312,-14.2294,2003-09-14,2004-08-28,"Pasture","mod13q1_512"
-52.1806,-14.234,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.3558,-15.8185,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.7012,-15.6941,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.565,-12.5681,2003-09-14,2004-08-28,"Pasture","mod13q1_512"
-52.1703,-14.2692,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.5743,-14.5173,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.2977,-14.8443,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-59.418,-9.3126,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-56.2098,-14.6582,2004-09-13,2005-08-29,"Pasture","mod13q1_512"
-60.4827,-12.988,2007-09-14,2008-08-28,"Pasture","mod13q1_512"
-56.3031,-13.4423,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-51.565,-12.5681,2012-09-13,2013-08-29,"Pasture","mod13q1_512"
-56.0231,-14.1694,2006-09-14,2007-08-29,"Pasture","mod13q1_512"
-56.4697,-14.8954,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.2059,-15.4816,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.0405,-13.8427,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.1993,-15.4484,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.7908,-12.8439,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.0574,-14.2136,2009-09-14,2010-08-29,"Pasture","mod13q1_512"
-57.803,-9.7565,2005-09-14,2006-08-29,"Pasture","mod13q1_512"
-51.8503,-12.7163,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-60.4875,-13.0058,2004-09-13,2005-08-29,"Pasture","mod13q1_512"
-51.8155,-12.8882,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.2598,-14.9734,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.565,-12.5681,2001-09-14,2002-08-29,"Pasture","mod13q1_512"
-52.0432,-13.7842,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.8003,-15.6905,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-53.8922,-15.6522,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.6209,-13.2247,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.1637,-15.3157,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.1334,-15.6435,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.0364,-13.7961,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-58.2746,-12.7532,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.2991,-11.2357,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.8099,-15.4178,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.6434,-13.2836,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.7915,-12.6512,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.9467,-10.0902,2008-09-13,2009-08-29,"Pasture","mod13q1_512"
-52.2654,-14.4431,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-53.0647,-14.6894,2003-09-14,2004-08-28,"Pasture","mod13q1_512"
-55.3252,-15.7107,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-56.9129,-13.9274,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.1577,-10.7871,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.5191,-10.3951,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.4364,-13.4547,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.0394,-10.384,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-59.808,-14.3551,2006-09-14,2007-08-29,"Pasture","mod13q1_512"
-52.1976,-15.3903,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.809,-15.6524,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.4026,-11.123,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.0406,-10.2941,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.3173,-15.7135,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-59.8262,-14.363,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
-52.2988,-14.5114,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.1842,-15.2057,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.5442,-14.3504,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.2195,-16.3526,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-57.5621,-14.6248,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-51.7873,-12.7521,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-53.0647,-14.6894,2010-09-14,2011-08-29,"Pasture","mod13q1_512"
-55.0286,-10.3235,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.407,-11.0986,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.6452,-15.7148,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.9462,-15.1557,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.281,-15.7587,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.1878,-17.1855,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.28,-14.473,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.6035,-14.6234,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.1879,-14.2071,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-57.7005,-14.6035,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.9213,-14.6885,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
-56.0231,-14.1694,2004-09-13,2005-08-29,"Pasture","mod13q1_512"
-55.5712,-12.3039,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.0312,-14.2294,2001-09-14,2002-08-29,"Pasture","mod13q1_512"
-55.1466,-10.7402,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-53.3818,-15.5722,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.2791,-11.0785,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.891,-10.2394,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.2007,-15.51,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.6133,-10.8366,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3919,-11.1538,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.2056,-15.4162,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.0497,-10.3673,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.1772,-15.1729,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-59.403,-9.3146,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.8955,-10.081,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
-52.3379,-14.7345,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.0574,-14.2136,2002-09-14,2003-08-29,"Pasture","mod13q1_512"
-52.8116,-15.6903,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.2775,-11.0404,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.5327,-16.5813,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-53.4335,-15.5623,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-53.6634,-15.7141,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-53.7896,-15.7459,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.7888,-12.7396,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.9373,-10.0818,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.7903,-12.7796,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-60.4827,-12.988,2006-09-14,2007-08-29,"Pasture","mod13q1_512"
-52.3897,-11.1353,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.3831,-10.4545,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.0231,-14.1694,2000-09-13,2001-08-29,"Pasture","mod13q1_512"
-59.8262,-14.363,2000-09-13,2001-08-29,"Pasture","mod13q1_512"
-52.1791,-15.2491,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.5255,-15.5255,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.6708,-13.7078,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.3941,-10.4556,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-57.803,-9.7565,2006-09-14,2007-08-29,"Pasture","mod13q1_512"
-57.8731,-14.5435,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-57.841,-14.5498,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.2875,-10.4255,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.6744,-10.8174,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-59.0879,-15.2475,2008-09-13,2009-08-29,"Pasture","mod13q1_512"
-52.0372,-13.837,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3388,-14.7297,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.1695,-10.4363,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.6905,-13.8622,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-51.5718,-12.603,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.3155,-11.1718,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-51.8014,-12.7354,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-60.4749,-12.9952,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
-55.2983,-16.207,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.9467,-10.0902,2006-09-14,2007-08-29,"Pasture","mod13q1_512"
-53.9232,-15.6592,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.5473,-15.7741,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.9141,-10.7602,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-57.5987,-14.6317,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.7512,-15.6987,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-51.9935,-12.6359,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.1705,-14.2529,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.8224,-15.6748,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.0917,-14.2115,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
-52.8858,-10.7584,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.0348,-13.7886,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-56.0231,-14.1694,2002-09-14,2003-08-29,"Pasture","mod13q1_512"
-52.5398,-15.7785,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-56.7898,-11.4209,2000-09-13,2001-08-29,"Pasture","mod13q1_512"
-57.5364,-14.5932,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.2931,-14.8716,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.3587,-14.6252,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.6412,-14.2235,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-57.803,-9.7565,2009-09-14,2010-08-29,"Pasture","mod13q1_512"
-52.9216,-15.5529,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.2753,-15.5055,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.262,-15.4992,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.9765,-13.2804,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.5718,-12.603,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
-55.1968,-10.8637,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.3179,-11.1462,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.565,-12.5681,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.907,-10.2279,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.368,-15.8808,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-53.6107,-10.542,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.6595,-13.8459,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.8789,-10.7563,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.3351,-15.4963,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.2567,-10.4244,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.5151,-15.7807,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.5006,-16.6027,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-56.0727,-14.4193,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-54.2691,-16.7111,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-54.2009,-17.1847,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-58.7278,-15.4932,2005-09-14,2006-08-29,"Pasture","mod13q1_512"
-53.7788,-15.7324,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-54.3629,-10.4392,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3391,-14.7406,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-53.7391,-15.7187,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.6871,-10.8212,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-60.4875,-13.0058,2010-09-14,2011-08-29,"Pasture","mod13q1_512"
-51.9487,-13.4278,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.1132,-13.9596,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3405,-14.7256,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.9491,-13.2318,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3847,-11.1492,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-53.0647,-14.6894,2004-09-13,2005-08-29,"Pasture","mod13q1_512"
-55.0436,-10.3756,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.0605,-13.8695,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.0944,-14.4319,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.559,-15.7747,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3264,-14.7094,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.0586,-13.8791,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.3957,-10.4612,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.3343,-14.6958,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.7996,-15.6908,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.6157,-15.7487,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.1792,-15.274,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.8729,-10.7456,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.7898,-11.4209,2001-09-14,2002-08-29,"Pasture","mod13q1_512"
-52.3052,-14.5233,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
